,Make,Model,Vehicle_Type,Engine_Capacity,Cylinders,Transmission,Fuel Type,Fuel Consumption City (L/100 km),Fuel Consumption Hwy (L/100 km),Fuel Consumption Comb (L/100 km),Fuel Consumption Comb (mpg),CO2 Emissions(g/km),vehicle_age,Distance_Driven_Last_Month,Fuel_Consumed_Last_Month
111,BMW,750Li xDRIVE,Four-Wheeler,4.4,8,A8,Diesel,15.0,9.8,12.7,22,292,5,1140.0,144.78
112,BMW,760Li,Four-Wheeler,6.0,12,A8,Diesel,18.7,11.5,15.5,18,356,5,1300.0,201.5
113,BMW,ACTIVEHYBRID 3,Four-Wheeler,3.0,6,A8,Diesel,9.2,7.1,8.3,34,191,4,1000.0,83.0
114,BMW,ACTIVEHYBRID 5,Four-Wheeler,3.0,6,A8,Diesel,10.5,7.9,9.3,30,214,4,1000.0,93.0
115,BMW,ACTIVEHYBRID 7L,Four-Wheeler,3.0,6,A8,Diesel,10.5,7.6,9.2,31,212,4,1000.0,92.0
116,BMW,ALPINA B7 xDRIVE LWB,Four-Wheeler,4.4,8,A8,Diesel,15.0,9.8,12.7,22,292,5,1140.0,144.78
117,BMW,ALPINA B7 xDRIVE SWB,Four-Wheeler,4.4,8,A8,Diesel,15.0,9.8,12.7,22,292,5,1140.0,144.78
118,BMW,M5,Four-Wheeler,4.4,8,AM7,Diesel,17.3,11.5,14.7,19,338,5,1140.0,167.58
119,BMW,M5,Four-Wheeler,4.4,8,M6,Diesel,16.2,10.9,13.8,20,317,5,1140.0,157.32
120,BMW,M6,Four-Wheeler,4.4,8,AM7,Diesel,17.3,11.5,14.7,19,338,5,1140.0,167.58
121,BMW,M6,Four-Wheeler,4.4,8,M6,Diesel,16.2,10.9,13.8,20,317,5,1140.0,157.32
122,BMW,M6 CABRIOLET,Four-Wheeler,4.4,8,AM7,Diesel,17.3,11.5,14.7,19,338,5,1140.0,167.58
123,BMW,M6 CABRIOLET,Four-Wheeler,4.4,8,M6,Diesel,16.2,10.9,13.8,20,317,5,1140.0,157.32
124,BMW,M6 GRAN COUPE,Four-Wheeler,4.4,8,AM7,Diesel,17.3,11.5,14.7,19,338,5,1140.0,167.58
125,BMW,M6 GRAN COUPE,Four-Wheeler,4.4,8,M6,Diesel,16.2,10.9,13.8,20,317,5,1140.0,157.32
126,BMW,X1 xDRIVE28i,Four-Wheeler,2.0,4,A8,Diesel,10.6,7.2,9.1,31,209,4,900.0,81.9
127,BMW,X1 xDRIVE35i,Four-Wheeler,3.0,6,A6,Diesel,13.2,8.9,11.3,25,260,4,1000.0,113.0
128,BMW,X3 xDRIVE28i,Four-Wheeler,2.0,4,A8,Diesel,11.2,8.5,10.0,28,230,4,900.0,90.0
129,BMW,X3 xDRIVE35i,Four-Wheeler,3.0,6,A8,Diesel,12.6,9.1,11.0,26,253,4,1000.0,110.0
130,BMW,X5 xDRIVE35i,Four-Wheeler,3.0,6,A8,Diesel,12.9,8.8,11.1,25,255,4,1000.0,111.0
131,BMW,X5 xDRIVE50i,Four-Wheeler,4.4,8,A8,Diesel,16.3,10.9,13.9,20,320,5,1140.0,158.46
132,BMW,X6 M,Four-Wheeler,4.4,8,A6,Diesel,18.1,13.7,16.1,18,370,6,1040.0,167.44
133,BMW,X6 xDRIVE35i,Four-Wheeler,3.0,6,A8,Diesel,13.6,9.8,11.9,24,274,5,1000.0,119.0
134,BMW,X6 xDRIVE50i,Four-Wheeler,4.4,8,A8,Diesel,16.4,11.3,14.1,20,324,5,1140.0,160.74
135,BMW,Z4 sDRIVE28i,Four-Wheeler,2.0,4,A8,Diesel,10.8,7.1,9.1,31,209,4,900.0,81.9
136,BMW,Z4 sDRIVE28i,Four-Wheeler,2.0,4,M6,Diesel,10.4,6.7,8.7,32,200,4,900.0,78.3
137,BMW,Z4 sDRIVE35i,Four-Wheeler,3.0,6,AM7,Diesel,13.7,10.1,12.1,23,278,5,1000.0,121.0
138,BMW,Z4 sDRIVE35i,Four-Wheeler,3.0,6,M6,Diesel,12.7,9.0,11.0,26,253,4,1000.0,110.0
139,BMW,Z4 sDRIVE35is,Four-Wheeler,3.0,6,AM7,Diesel,13.7,10.1,12.1,23,278,5,1000.0,121.0
140,BUICK,ENCLAVE,Four-Wheeler,3.6,6,A6,Petrol,14.3,9.9,12.3,23,283,5,860.0,105.78
141,BUICK,ENCLAVE AWD,Four-Wheeler,3.6,6,A6,Petrol,14.6,10.2,12.6,22,290,5,860.0,108.36
142,BUICK,ENCORE,Four-Wheeler,1.4,4,AS6,Petrol,9.5,7.2,8.5,33,196,4,640.0,54.4
143,BUICK,ENCORE AWD,Four-Wheeler,1.4,4,AS6,Petrol,10.2,8.0,9.2,31,212,4,640.0,58.88
144,BUICK,LACROSSE,Four-Wheeler,3.6,6,AS6,Petrol,13.7,8.7,11.5,25,264,4,860.0,98.9
145,BUICK,LACROSSE,Four-Wheeler,3.6,6,AS6,Electric,18.4,12.2,15.6,18,250,5,760.0,118.56
146,BUICK,LACROSSE AWD,Four-Wheeler,3.6,6,AS6,Petrol,13.7,8.9,11.5,25,264,4,860.0,98.9
147,BUICK,LACROSSE AWD,Four-Wheeler,3.6,6,AS6,Electric,19.4,13.0,16.5,17,264,5,760.0,125.4
148,BUICK,LACROSSE eASSIST,Four-Wheeler,2.4,4,AS6,Petrol,9.6,6.5,8.2,34,189,4,740.0,60.67999999999999
149,BUICK,REGAL,Four-Wheeler,2.0,4,AS6,Diesel,11.5,7.9,9.9,29,228,4,900.0,89.1
150,BUICK,REGAL,Four-Wheeler,2.0,4,M6,Diesel,11.6,7.5,9.8,29,225,4,900.0,88.2
151,BUICK,REGAL AWD,Four-Wheeler,2.0,4,AS6,Diesel,12.3,8.7,10.7,26,246,4,900.0,96.3
152,BUICK,REGAL eASSIST,Four-Wheeler,2.4,4,AS6,Petrol,9.6,6.5,8.2,34,189,4,740.0,60.67999999999999
153,BUICK,VERANO,Four-Wheeler,2.0,4,AS6,Diesel,11.5,7.9,9.9,29,228,4,900.0,89.1
154,BUICK,VERANO,Four-Wheeler,2.0,4,M6,Diesel,11.6,7.5,9.8,29,225,4,900.0,88.2
155,BUICK,VERANO,Four-Wheeler,2.4,4,AS6,Petrol,11.3,7.4,9.5,30,218,4,740.0,70.3
156,CADILLAC,ATS,Four-Wheeler,2.0,4,AS6,Diesel,11.3,7.5,9.6,29,221,4,900.0,86.4
157,CADILLAC,ATS,Four-Wheeler,2.0,4,M6,Diesel,12.1,7.9,10.2,28,235,4,900.0,91.8
158,CADILLAC,ATS,Four-Wheeler,2.5,4,AS6,Petrol,10.5,7.2,9.0,31,207,4,750.0,67.5
159,CADILLAC,ATS,Four-Wheeler,3.6,6,AS6,Petrol,12.8,8.5,10.9,26,251,4,860.0,93.74
160,CADILLAC,ATS AWD,Four-Wheeler,2.0,4,AS6,Diesel,11.8,8.1,10.1,28,232,4,900.0,90.9
161,CADILLAC,ATS AWD,Four-Wheeler,3.6,6,AS6,Petrol,13.1,9.0,11.3,25,260,4,860.0,97.18
162,CADILLAC,CTS COUPE,Four-Wheeler,3.6,6,AS6,Petrol,13.2,8.7,11.2,25,258,4,860.0,96.32
163,CADILLAC,CTS COUPE AWD,Four-Wheeler,3.6,6,AS6,Petrol,13.3,9.0,11.4,25,262,4,860.0,98.04
164,CADILLAC,CTS SEDAN,Four-Wheeler,2.0,4,AS6,Diesel,11.9,7.9,10.1,28,232,4,900.0,90.9
165,CADILLAC,CTS SEDAN,Four-Wheeler,3.6,6,AS8,Petrol,12.9,8.2,10.8,26,248,4,860.0,92.88
166,CADILLAC,CTS SEDAN AWD,Four-Wheeler,2.0,4,AS6,Diesel,12.6,8.5,10.8,26,248,4,900.0,97.2
167,CADILLAC,CTS SEDAN AWD,Four-Wheeler,3.6,6,AS6,Petrol,13.1,9.0,11.3,25,260,4,860.0,97.18
168,CADILLAC,CTS SEDAN Vsport,Four-Wheeler,3.6,6,AS8,Diesel,15.1,9.9,12.8,22,294,5,1060.0,135.68
169,CADILLAC,CTS SPORT WAGON,Four-Wheeler,3.0,6,AS6,Petrol,12.7,8.9,11.0,26,253,4,800.0,88.0
170,CADILLAC,CTS SPORT WAGON,Four-Wheeler,3.6,6,AS6,Petrol,13.3,8.9,11.3,25,260,4,860.0,97.18
171,CADILLAC,CTS SPORT WAGON AWD,Four-Wheeler,3.0,6,AS6,Petrol,12.8,9.1,11.1,25,255,4,800.0,88.8
172,CADILLAC,CTS SPORT WAGON AWD,Four-Wheeler,3.6,6,AS6,Petrol,13.3,9.0,11.4,25,262,4,860.0,98.04
173,CADILLAC,CTS-V COUPE,Four-Wheeler,6.2,8,AS6,Diesel,19.7,12.9,16.6,17,382,6,1220.0,202.52
174,CADILLAC,CTS-V COUPE,Four-Wheeler,6.2,8,M6,Diesel,16.7,12.5,14.8,19,340,5,1320.0,195.36
175,CADILLAC,CTS-V SEDAN,Four-Wheeler,6.2,8,AS6,Diesel,19.7,12.9,16.6,17,382,6,1220.0,202.52
176,CADILLAC,CTS-V SEDAN,Four-Wheeler,6.2,8,M6,Diesel,16.7,12.5,14.8,19,340,5,1320.0,195.36
177,CADILLAC,CTS-V SPORT WAGON,Four-Wheeler,6.2,8,AS6,Diesel,19.7,12.9,16.6,17,382,6,1220.0,202.52
178,CADILLAC,CTS-V SPORT WAGON,Four-Wheeler,6.2,8,M6,Diesel,16.7,12.5,14.8,19,340,5,1320.0,195.36
179,CADILLAC,ESCALADE AWD,Four-Wheeler,6.2,8,A6,Diesel,17.0,11.8,14.7,19,338,5,1320.0,194.04
180,CADILLAC,ESCALADE AWD,Four-Wheeler,6.2,8,A6,Electric,23.3,16.1,20.1,14,322,6,920.0,184.92
181,CADILLAC,ESCALADE ESV AWD,Four-Wheeler,6.2,8,A6,Diesel,18.8,13.4,16.4,17,377,6,1220.0,200.08
182,CADILLAC,ESCALADE ESV AWD,Four-Wheeler,6.2,8,A6,Electric,25.7,17.8,22.1,13,354,7,920.0,203.32
183,CADILLAC,SRX,Four-Wheeler,3.6,6,AS6,Petrol,14.3,9.8,12.3,23,283,5,860.0,105.78
184,CADILLAC,SRX AWD,Four-Wheeler,3.6,6,AS6,Petrol,14.8,10.4,12.8,22,294,5,860.0,110.08
185,CADILLAC,XTS,Four-Wheeler,3.6,6,AS6,Petrol,13.6,8.6,11.4,25,262,4,860.0,98.04
186,CADILLAC,XTS AWD,Four-Wheeler,3.6,6,AS6,Petrol,14.0,9.1,11.8,24,271,4,860.0,101.48
187,CADILLAC,XTS Vsport AWD,Four-Wheeler,3.6,6,AS6,Diesel,14.8,9.8,12.6,22,290,5,1060.0,133.56
188,CHEVROLET,CAMARO,Four-Wheeler,3.6,6,AS6,Petrol,13.2,8.7,11.2,25,258,4,860.0,96.32
189,CHEVROLET,CAMARO,Four-Wheeler,3.6,6,M6,Petrol,14.2,8.6,11.7,24,269,4,860.0,100.62
190,CHEVROLET,CAMARO 2LS,Four-Wheeler,3.6,6,AS6,Petrol,12.7,7.9,10.5,27,242,4,860.0,90.3
191,CHEVROLET,CAMARO SS,Four-Wheeler,6.2,8,AS6,Diesel,15.3,9.8,12.8,22,294,5,1320.0,168.96
192,CHEVROLET,CAMARO SS,Four-Wheeler,6.2,8,M6,Diesel,15.0,9.9,12.7,22,292,5,1320.0,167.64
193,CHEVROLET,CAMARO ZL1,Four-Wheeler,6.2,8,AS6,Diesel,19.7,12.9,16.6,17,382,6,1220.0,202.52
194,CHEVROLET,CAMARO ZL1,Four-Wheeler,6.2,8,M6,Diesel,16.7,12.5,14.8,19,340,5,1320.0,195.36
195,CHEVROLET,CORVETTE,Four-Wheeler,6.2,8,AS6,Diesel,14.9,8.5,12.0,24,276,4,1320.0,158.4
196,CHEVROLET,CORVETTE,Four-Wheeler,6.2,8,M7,Diesel,13.7,8.2,11.2,25,258,4,1320.0,147.83999999999997
197,CHEVROLET,CRUZE,Four-Wheeler,1.4,4,AS6,Petrol,9.1,6.3,7.8,36,179,4,640.0,49.92
198,CHEVROLET,CRUZE,Four-Wheeler,1.4,4,M6,Petrol,9.1,6.3,7.8,36,179,4,640.0,49.92
199,CHEVROLET,CRUZE,Four-Wheeler,1.8,4,AS6,Petrol,10.5,6.7,8.8,32,202,4,680.0,59.84000000000001
200,CHEVROLET,CRUZE,Four-Wheeler,1.8,4,M6,Petrol,9.5,6.5,8.2,34,189,4,680.0,55.75999999999999
201,CHEVROLET,CRUZE DIESEL,Four-Wheeler,2.0,4,AS6,CNG,8.7,5.1,7.1,40,192,4,700.0,49.7
202,CHEVROLET,CRUZE ECO,Four-Wheeler,1.4,4,A6,Petrol,9.1,6.0,7.7,37,177,4,640.0,49.28
203,CHEVROLET,CRUZE ECO,Four-Wheeler,1.4,4,M6,Petrol,8.4,5.6,7.1,40,163,4,640.0,45.44
204,CHEVROLET,EQUINOX,Four-Wheeler,2.4,4,A6,Petrol,10.5,7.3,9.1,31,209,4,740.0,67.34
